Dataset,Split,Shape,Components,Duplicated sets,Set copies,Max set size difference,Max element size difference,Vacant cells,Sparsity (%),Total split time (s),Total layout time (s),Total arrange time (s),Bounding box width,Bounding box height,Bounding box (cells),Blank cells,Blank orthoconvex hull cells,Average set squareness,Average set vertices,Average set straight sides
Physics,BlockSets,Rectangle,1,0,0,0,0,24,66.67,0.0,6.7595,1.7115,6,6,36,2,0,0.0,4.0,4.0
graphs,BlockSets,Arbitrary_MSE,1,0,0,0,0,0,0.0,0.0,1.6016,5.7957,5,4,20,6,0,0.625,4.5,3.5
graphs,BlockSets,Arbitrary_MSP,1,0,0,0,0,0,0.0,0.0,34.381,5.837,4,5,20,6,0,0.625,4.5,3.5
graphs,BlockSets,Orthoconvex,1,0,0,0,0,1,5.0,0.0,60.4501,4.1434,4,5,20,5,1,0.5556,4.3333,3.6667
graphs,BlockSets,Nabla,1,0,0,0,0,1,5.0,0.0,60.2332,0.8855,4,5,20,5,0,0.5556,4.3333,3.6667
graphs,BlockSets,Gamma,1,0,0,0,0,1,5.0,0.0,60.2342,0.3672,5,4,20,5,1,0.4861,4.1667,3.8333
graphs,BlockSets,Rectangle,1,0,0,0,0,4,16.0,0.0,60.4285,1.0511,5,5,25,7,0,0.1667,4.0,4.0
Probability,BlockSets,Arbitrary_MSE,1,0,0,0,0,0,0.0,0.0,14.3143,5.5701,5,4,20,6,0,0.6653,7.1667,2.0
Probability,BlockSets,Arbitrary_MSP,1,0,0,0,0,0,0.0,0.0,60.0764,5.8023,5,3,15,1,0,0.6486,6.5,2.3333
Probability,BlockSets,Orthoconvex,1,0,0,0,0,1,5.0,0.0,60.4081,2.37,5,4,20,5,0,0.6903,6.6667,2.0833
Probability,BlockSets,Nabla,3,4,7,4,7,5,20.0,0.3192,181.3208,1.7364,5,5,25,6,0,0.5702,4.9474,3.2105
Probability,BlockSets,Gamma,2,3,3,5,10,14,28.57,0.1059,120.4972,1.1221,7,7,49,21,0,0.6732,5.3333,2.9333
Probability,BlockSets,Rectangle,3,4,7,4,7,30,61.22,0.1081,19.3506,4.9547,7,7,49,5,0,0.3158,4.0,4.0
Theseus,BlockSets,Arbitrary_MSE,1,0,0,0,0,0,0.0,0.0,5.5491,3.9736,5,5,25,9,0,0.7426,8.4444,0.8889
Theseus,BlockSets,Arbitrary_MSP,1,0,0,0,0,0,0.0,0.0,60.0635,2.6557,4,4,16,0,0,0.7685,6.0,2.3333
Theseus,BlockSets,Orthoconvex,1,0,0,0,0,0,0.0,0.0,60.2509,4.4769,4,5,20,4,0,0.6667,6.2222,2.0
Theseus,BlockSets,Nabla,1,0,0,0,0,4,16.67,0.0,60.2209,1.1368,6,4,24,4,0,0.6852,5.3333,3.0
Theseus,BlockSets,Gamma,1,0,0,0,0,5,13.89,0.0,60.2917,0.504,6,6,36,15,0,0.6852,5.1111,3.1111
Theseus,BlockSets,Rectangle,1,0,0,0,0,23,54.76,0.0,11.7255,2.0575,6,7,42,3,0,0.1111,4.0,4.0
Achilles,BlockSets,Arbitrary_MSE,1,0,0,0,0,0,0.0,0.0,1.0748,5.9671,4,4,16,4,0,0.6458,6.3333,2.6667
Achilles,BlockSets,Arbitrary_MSP,1,0,0,0,0,0,0.0,0.0,25.993,4.8131,4,4,16,4,0,0.6458,6.3333,2.6667
Achilles,BlockSets,Orthoconvex,1,0,0,0,0,2,10.0,0.0,60.2813,4.0389,5,4,20,6,0,0.6417,5.8333,2.5
Achilles,BlockSets,Nabla,1,0,0,0,0,2,8.0,0.0,60.2368,0.8809,5,5,25,11,0,0.6903,6.1667,2.4167
Achilles,BlockSets,Gamma,2,5,5,0,0,4,22.22,0.2619,109.672,0.7248,6,3,18,2,0,0.7059,4.9412,3.1765
Achilles,BlockSets,Rectangle,1,0,0,0,0,25,59.52,0.0,10.3697,1.9244,6,7,42,5,0,0.3333,4.0,4.0
Plants,BlockSets,Arbitrary_MSE,1,0,0,0,0,0,0.0,0.0,0.1757,3.7655,5,5,25,9,0,0.925,10.6667,0.6667
Plants,BlockSets,Arbitrary_MSP,1,0,0,0,0,0,0.0,0.0,60.0329,0.3613,4,4,16,0,0,0.875,6.0,2.3333
