Dataset,Split,Shape,Components,Duplicated sets,Set copies,Max set size difference,Max element size difference,Vacant cells,Sparsity (%),Total split time (s),Total layout time (s),Total arrange time (s),Bounding box width,Bounding box height,Bounding box (cells),Blank cells,Blank orthoconvex hull cells,Average set squareness,Average set vertices,Average set straight sides
WWII,BlockSets,Gamma,2,5,5,0,0,18,25.0,0.013,180.659,2.1429,9,8,72,14,2,0.6218,6.0,2.6667
WWII,BlockSets,Rectangle,2,5,5,0,0,46,50.55,0.0113,180.7135,8.4322,7,13,91,5,0,0.0833,4.0,4.0
Foods,BlockSets,Arbitrary_MSE,9,15,22,12,9,0,0.0,5.3056,68.548,62.4522,5,5,25,3,0,0.8296,4.2222,3.7778
Foods,BlockSets,Arbitrary_MSP,9,15,22,12,9,0,0.0,5.3015,174.5459,61.4129,5,5,25,3,0,0.8296,4.2222,3.7778
Foods,BlockSets,Orthoconvex,2,5,5,2,2,8,22.86,4.6676,180.8884,5.6283,5,7,35,5,0,0.6577,5.0,3.0357
Foods,BlockSets,Nabla,2,5,5,2,2,22,40.74,4.7811,180.5653,2.1768,6,9,54,10,3,0.6405,5.0714,3.0714
Foods,BlockSets,Gamma,3,7,7,12,10,19,30.16,2.7544,240.8426,2.2455,7,9,63,22,1,0.6122,4.5333,3.5333
Foods,BlockSets,Rectangle,2,5,5,2,2,31,51.67,4.7497,92.5604,4.8502,6,10,60,7,0,0.2857,4.0,4.0
Odysseus,BlockSets,Arbitrary_MSE,1,0,0,0,0,0,0.0,0.0,46.9937,12.009,6,6,36,8,0,0.6983,7.0,2.5
Odysseus,BlockSets,Arbitrary_MSP,3,4,6,4,5,0,0.0,1.5288,241.679,25.9857,6,5,30,2,0,0.7019,5.3077,2.9231
Odysseus,BlockSets,Orthoconvex,2,3,3,1,6,1,2.86,1.4543,180.6162,15.7084,7,5,35,6,0,0.5826,5.3043,2.913
Odysseus,BlockSets,Nabla,2,3,3,1,6,11,19.64,1.4638,180.709,3.2705,7,8,56,17,1,0.5906,5.5652,2.8696
Odysseus,BlockSets,Gamma,3,4,6,4,5,10,20.41,1.5601,262.1493,2.1928,7,7,49,11,4,0.5641,4.6154,3.4615
Odysseus,BlockSets,Rectangle,2,3,3,1,6,37,48.05,1.4437,141.3432,6.161,7,11,77,12,1,0.3478,4.0,4.0
Languages,BlockSets,Arbitrary_MSE,3,8,16,0,11,0,0.0,0.0366,150.9898,43.6088,7,8,56,14,3,0.8028,7.9167,1.7083
Languages,BlockSets,Arbitrary_MSP,4,8,20,2,1,0,0.0,0.0334,391.8383,63.1536,6,8,48,6,0,0.6542,5.7857,2.5714
Languages,BlockSets,Orthoconvex,2,8,8,0,0,10,15.87,0.019,180.584,28.1962,7,9,63,11,2,0.7062,9.375,0.6875
Languages,BlockSets,Nabla,3,8,12,2,11,28,33.33,0.0174,301.28,13.903,12,7,84,14,5,0.6154,6.4,2.1
Languages,BlockSets,Gamma,4,8,20,2,1,15,23.44,0.0304,421.8237,6.9938,8,8,64,7,2,0.5826,5.1429,2.9286
Languages,BlockSets,Rectangle,4,8,20,2,1,54,49.09,0.0334,107.6232,61.0446,11,10,110,14,0,0.3214,4.0,4.0
LanguagesLarge,BlockSets,Arbitrary_MSE,12,14,47,6,14,0,0.0,1.1795,509.9795,61.9326,8,8,64,4,0,0.735,5.082,3.0984
LanguagesLarge,BlockSets,Arbitrary_MSP,12,14,47,6,14,0,0.0,1.2155,608.0381,62.3946,8,8,64,4,0,0.7418,4.8525,3.2787
LanguagesLarge,BlockSets,Orthoconvex,7,14,32,8,16,14,17.5,1.1694,497.326,63.8858,10,8,80,6,2,0.7373,6.0,2.5
LanguagesLarge,BlockSets,Nabla,9,14,38,6,12,17,18.89,1.2407,620.4822,60.9461,10,9,90,13,2,0.7106,5.1154,2.9615
LanguagesLarge,BlockSets,Gamma,10,14,43,6,12,14,17.5,1.1691,734.6402,60.5862,10,8,80,6,1,0.6898,4.7368,3.2982
LanguagesLarge,BlockSets,Rectangle,8,14,35,8,16,92,54.76,1.1809,238.6569,61.2053,14,12,168,16,3,0.2449,4.0,4.0
LOTR,BlockSets,Arbitrary_MSE,34,21,159,9,14,0,0.0,44.1088,1301.0292,65.7218,18,16,288,198,92,0.8287,4.3556,3.6889
LOTR,BlockSets,Arbitrary_MSP,35,21,162,7,12,0,0.0,44.4088,1762.014,65.0814,11,11,121,31,1,0.8133,4.2842,3.7705
LOTR,BlockSets,Orthoconvex,18,21,103,12,16,38,24.36,43.5525,1271.6554,66.059,12,13,156,28,2,0.7664,5.371,2.9919
LOTR,BlockSets,Nabla,22,21,117,10,12,51,30.36,44.4462,1517.9015,61.6561,12,14,168,27,4,0.7791,4.6087,3.4783
LOTR,BlockSets,Gamma,25,21,127,9,12,79,37.62,44.0994,1706.9515,61.2986,14,15,210,41,2,0.7705,4.473,3.6351
LOTR,BlockSets,Rectangle,31,21,151,9,10,85,40.48,43.3298,812.9734,61.0907,14,15,210,35,5,0.593,4.0,4.0
Probability,RectEuler,Nabla,2,7,7,1,4,2,10.0,1.9786,126.2271,0.943,5,4,20,4,0,0.7281,5.1579,3.0526
Probability,RectEuler,Gamma,1,0,0,0,0,25,51.02,0.0,60.1972,1.1147,7,7,49,10,0,0.7063,6.1667,2.1667
Probability,RectEuler,Rectangle,2,7,7,1,4,20,50.0,0.7819,16.1366,1.5878,8,5,40,6,0,0.4737,4.0,4.0
Achilles,RectEuler,Gamma,2,5,5,8,8,3,12.0,0.776,120.5831,0.8006,5,5,25,10,0,0.8,4.7059,3.4118
Sets,RectEuler,Arbitrary_MSE,2,7,7,5,10,0,0.0,0.8146,120.7644,7.9855,5,5,25,5,0,0.786,4.7368,3.4211
Sets,RectEuler,Nabla,2,7,7,5,10,1,4.17,0.7878,121.8208,1.1564,4,6,24,3,0,0.7456,4.3158,3.6842
Sets,RectEuler,Gamma,2,7,7,5,10,4,11.43,0.7837,122.9065,0.9845,5,7,35,11,0,0.7219,4.3158,3.6842
Appolo11,RectEuler,Nabla,1,0,0,0,0,3,8.33,0.0,60.1074,0.5843,6,6,36,17,0,0.6818,6.1818,2.2727
Appolo11,RectEuler,Gamma,2,5,5,6,2,0,0.0,0.8077,180.5392,0.7343,5,4,20,4,0,0.6969,4.375,3.625
Perseus,RectEuler,Arbitrary_MSE,3,8,8,10,10,0,0.0,0.7726,63.4828,10.7784,6,4,24,4,0,0.8447,4.1818,3.8182
Perseus,RectEuler,Orthoconvex,3,8,8,10,10,0,0.0,0.7556,179.9654,5.9893,4,6,24,4,0,0.8144,4.0909,3.9091
Perseus,RectEuler,Nabla,3,8,8,10,10,0,0.0,0.8281,180.8271,1.6188,4,6,24,4,0,0.8144,4.0909,3.9091
Perseus,RectEuler,Gamma,3,8,8,10,10,0,0.0,0.7701,181.0663,0.9532,4,6,24,4,0,0.8144,4.0909,3.9091
HumanBody,RectEuler,Arbitrary_MSE,3,4,4,14,10,0,0.0,0.7637,61.605,7.2897,5,6,30,12,0,0.8083,5.3,3.1
HumanBody,RectEuler,Arbitrary_MSP,3,4,4,14,10,0,0.0,0.7596,81.9596,2.0589,4,5,20,2,0,0.7792,4.8,3.4
HumanBody,RectEuler,Orthoconvex,3,4,4,14,10,0,0.0,0.7884,135.9007,1.7833,4,5,20,2,0,0.7458,4.9,3.1
HumanBody,RectEuler,Nabla,3,4,4,14,10,2,6.67,0.8245,131.9186,2.0136,5,6,30,10,3,0.75,4.7,3.4
HumanBody,RectEuler,Gamma,3,4,4,14,10,4,13.33,0.794,158.5529,0.9453,5,6,30,8,0,0.7208,4.6,3.5
Heracles,RectEuler,Arbitrary_MSE,2,1,1,20,22,0,0.0,0.7799,120.2201,5.1207,5,6,30,4,0,0.5778,4.8,3.4
Heracles,RectEuler,Orthoconvex,3,2,2,19,19,0,0.0,1.6013,181.7699,13.0365,5,6,30,4,0,0.5833,4.5,3.5
Heracles,RectEuler,Nabla,4,3,3,18,19,20,40.82,2.3083,242.0883,3.5321,7,7,49,3,0,0.6373,4.7059,3.4706
Heracles,RectEuler,Gamma,3,2,2,19,19,0,0.0,1.5502,182.1861,1.2055,5,7,35,9,1,0.5646,4.375,3.75
WWII,RectEuler,Arbitrary_MSE,2,6,6,1,16,0,0.0,0.7746,121.4757,23.2346,9,6,54,14,2,0.8244,8.9231,1.4615
WWII,RectEuler,Arbitrary_MSP,3,6,11,2,8,0,0.0,1.5786,191.3656,26.2782,7,7,49,9,0,0.8481,5.5556,2.5556
WWII,RectEuler,Orthoconvex,3,6,11,2,8,0,0.0,1.9361,301.4356,11.1758,7,7,49,9,0,0.7704,5.2222,2.8333
WWII,RectEuler,Nabla,3,6,11,2,8,0,0.0,1.7786,301.0005,5.6336,8,8,64,24,2,0.6685,5.1111,3.1667
WWII,RectEuler,Gamma,3,6,11,2,8,2,3.57,1.5439,301.7042,2.7404,8,7,56,14,2,0.5974,4.7778,3.2222
WWII,RectEuler,Rectangle,2,6,6,1,16,54,45.0,0.7872,129.2737,7.7459,12,10,120,26,0,0.2308,4.0,4.0
Foods,RectEuler,Arbitrary_MSE,10,16,26,7,5,0,0.0,5.4361,87.2751,61.3558,5,5,25,3,0,0.8469,4.1224,3.8776
Foods,RectEuler,Arbitrary_MSP,10,16,26,7,5,0,0.0,5.5553,166.6718,60.8831,5,5,25,3,0,0.8469,4.1224,3.8776
Foods,RectEuler,Orthoconvex,3,11,12,14,10,2,6.67,1.6045,184.8589,12.0645,5,6,30,6,0,0.7548,4.5143,3.5143
Foods,RectEuler,Nabla,5,14,16,16,9,2,6.67,2.3757,259.1043,2.9927,5,6,30,6,0,0.8205,4.4615,3.5641
Foods,RectEuler,Gamma,5,14,16,16,9,8,19.05,2.3381,266.2191,2.4205,7,6,42,12,1,0.7991,4.359,3.641
Foods,RectEuler,Rectangle,2,6,6,13,10,43,53.75,0.7893,121.403,6.1172,8,10,80,15,0,0.3448,4.0,4.0
Odysseus,RectEuler,Arbitrary_MSE,6,15,17,14,12,0,0.0,1.5791,146.9888,10.8702,5,6,30,2,0,0.8986,4.7027,3.4054
Odysseus,RectEuler,Orthoconvex,6,15,17,14,12,0,0.0,1.5542,242.8189,10.6008,6,5,30,2,0,0.818,4.5946,3.4595
Odysseus,RectEuler,Nabla,6,15,17,14,12,1,2.78,1.5331,242.8169,4.3986,6,6,36,7,0,0.8126,4.4324,3.6216
Odysseus,RectEuler,Gamma,6,15,17,14,12,4,11.11,1.5294,245.1099,2.2968,6,6,36,4,1,0.8239,4.4324,3.6757
Odysseus,RectEuler,Rectangle,2,7,7,11,10,30,50.0,0.7698,123.7343,5.0345,6,10,60,2,0,0.4815,4.0,4.0
Languages,RectEuler,Arbitrary_MSE,2,5,5,3,14,0,0.0,0.766,121.235,29.3053,7,10,70,28,4,0.8352,11.8462,0.4615
Languages,RectEuler,Arbitrary_MSP,3,7,11,2,2,0,0.0,1.5401,271.0337,60.6141,7,8,56,14,0,0.8553,5.6842,2.7368
Languages,RectEuler,Orthoconvex,3,7,11,2,2,0,0.0,1.8073,301.6886,45.8902,7,7,49,7,0,0.7035,5.5789,2.6316
Languages,RectEuler,Nabla,3,7,11,2,2,2,3.57,1.7518,301.0805,6.6476,8,7,56,12,2,0.6412,5.3684,2.9474
Languages,RectEuler,Gamma,3,7,11,2,2,1,1.39,1.5313,301.6393,3.4784,8,9,72,29,5,0.7294,5.5789,2.8421
Languages,RectEuler,Rectangle,3,7,11,2,2,27,33.33,1.5876,96.394,8.5028,9,9,81,12,0,0.2105,4.0,4.0
LanguagesLarge,RectEuler,Arbitrary_MSE,3,13,20,3,10,0,0.0,1.532,185.9704,61.9727,9,10,90,30,1,0.7407,6.7059,2.2059
LanguagesLarge,RectEuler,Arbitrary_MSP,5,14,28,8,17,0,0.0,3.1324,421.186,62.6069,9,7,63,3,0,0.8278,5.5238,2.881
LanguagesLarge,RectEuler,Orthoconvex,4,14,25,8,16,1,1.39,2.4974,364.5733,62.6424,8,9,72,11,2,0.7397,5.641,2.7692
LanguagesLarge,RectEuler,Nabla,4,14,25,8,16,41,39.05,2.5847,367.4464,28.7895,15,7,105,4,1,0.6839,5.0256,3.1282
LanguagesLarge,RectEuler,Gamma,6,14,33,8,13,15,16.67,4.4757,489.1571,14.232,10,9,90,15,0,0.7727,4.7234,3.4043
LanguagesLarge,RectEuler,Rectangle,3,13,20,3,10,70,41.42,1.7435,196.0243,37.2264,13,13,169,39,0,0.2941,4.0,4.0
LOTR,RectEuler,Arbitrary_MSE,6,21,60,9,22,0,0.0,4.6385,362.1645,65.8603,12,11,132,42,10,0.8412,6.5679,2.6049
LOTR,RectEuler,Arbitrary_MSP,8,21,73,10,15,0,0.0,5.6689,677.71,66.3037,12,12,144,54,1,0.8388,5.2553,3.1489
LOTR,RectEuler,Orthoconvex,8,21,73,10,15,5,3.79,5.9557,787.6888,64.9103,12,11,132,37,6,0.8039,5.2128,3.0106
LOTR,RectEuler,Nabla,11,21,91,10,13,6,5.56,7.8936,1049.3996,61.372,9,12,108,12,2,0.8082,4.5536,3.5
LOTR,RectEuler,Gamma,11,21,91,10,13,14,10.61,7.6257,1049.4442,60.7792,12,11,132,28,6,0.7588,4.5179,3.5357
LOTR,RectEuler,Rectangle,9,21,76,12,18,106,50.48,6.3832,545.675,62.5799,14,15,210,14,1,0.5567,4.0,4.0
